"Ward No","Ward Name","BBMP Zone Name","BBMP Division","BBMP Sub Division","Assembly constituency","MP Constituency"
"1","Kempegowda Ward","Yelahanka","Yelahanka","Yelahanka","Yelahanka","Chikballapur"
"2","Chowdeswari Ward","Yelahanka","Yelahanka","Yelahanka","Yelahanka","Chikballapur"
"3","Atturu","Yelahanka","Yelahanka","Yelahanka","Yelahanka","Chikballapur"
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","Chikballapur"
"5","Jakkuru","Yelahanka","Byatarayanapura","Byatarayanapura","Byatarayanapura","Bangalore North"
"6","Thanisandra","Yelahanka","Byatarayanapura","Byatarayanapura","Byatarayanapura","Bangalore North"
"7","Byatarayanapura","Yelahanka","Byatarayanapura","Byatarayanapura","Byatarayanapura","Bangalore North"
"8","Kodigehalli","Yelahanka","Byatarayanapura","Byatarayanapura","Byatarayanapura","Bangalore North"
"9","Vidyaranyapura","Yelahanka","Byatarayanapura","Vidyaranyapura","Byatarayanapura","Bangalore North"
"10","Dodda Bommasandra","Yelahanka","Byatarayanapura","Vidyaranyapura","Byatarayanapura","Bangalore North"
"11","Kuvempu Nagar","Yelahanka","Byatarayanapura","Vidyaranyapura","Byatarayanapura","Bangalore North"
"12","Shettihalli","Dasarahalli","Dasarahalli","Shetty halli","Dasarahalli","Bangalore North"
"13","Mallasandra","Dasarahalli","Dasarahalli","Shetty halli","Dasarahalli","Bangalore North"
"14","Bagalakunte","Dasarahalli","Dasarahalli","T.Dasarahalli","Dasarahalli","Bangalore North"
"15","T Dasarahalli","Dasarahalli","Dasarahalli","T.Dasarahalli","Dasarahalli","Bangalore North"
"16","Jalahalli","Rajarajeswari Nagar","Yeshwanthpura","Yeshwanthpura","Rajarajeswari Nagar","Bangalore North"
"17","J P Park","Rajarajeswari Nagar","Yeshwanthpura","Yeshwanthpura","Rajarajeswari Nagar","Bangalore North"
"18","Radhakrishna Temple Ward","East","Hebbal","Hebbal","Hebbal","Bangalore North"
"19","SanJayanagar","East","Hebbal","Hebbal","Hebbal","Bangalore North"
"20","Ganga Nagar","East","Hebbal","Hebbal","Hebbal","Bangalore North"
"21","Hebbala","East","Hebbal","Hebbal","Hebbal","Bangalore North"
"22","Vishwanath Nagenahalli","East","Hebbal","J.C. Nagar","Hebbal","Bangalore North"
"23","Nagavara","East","Sarvajna Nagar","HBR Layout","Sarvagna Nagar","Bangalore Central"
"24","HBR Layout","East","Sarvajna Nagar","HBR Layout","Sarvagna Nagar","Bangalore Central"
"25","Horamavu","Mahadevapura","K.R.Puram","Horamaavu","K.R. Puram","Bangalore North"
"26","Ramamurthy Nagar","Mahadevapura","K.R.Puram","Horamaavu","K.R. Puram","Bangalore North"
"27","Banasavadi","East","Sarvajna Nagar","Maruthi Seva Nagar","Sarvagna Nagar","Bangalore Central"
"28","Kammanahalli","East","Sarvajna Nagar","Maruthi Seva Nagar","Sarvagna Nagar","Bangalore Central"
"29","Kacharkanahalli","East","Sarvajna Nagar","Maruthi Seva Nagar","Sarvagna Nagar","Bangalore Central"
"30","Kadugondanahalli","East","Sarvajna Nagar","HBR Layout","Sarvagna Nagar","Bangalore Central"
"31","Kushal Nagar","East","Pulikeshi Nagar","K.G. Halli","Pulakeshi Nagar (SC)","Bangalore North"
"32","Kaval Bairasandra","East","Pulikeshi Nagar","K.G. Halli","Pulakeshi Nagar (SC)","Bangalore North"
"33","Manorayana Palya","East","Hebbal","J.C. Nagar","Hebbal","Bangalore North"
"34","Gangenahalli","East","Hebbal","J.C. Nagar","Hebbal","Bangalore North"
"35","Aramane Nagara","West","Malleshwaram","Mattikere","Malleshwaram","Bangalore North"
"36","Mattikere","West","Malleshwaram","Mattikere","Malleshwaram","Bangalore North"
"37","Yeshwanthpura","Rajarajeswari Nagar","Yeshwanthpura","Yeshwanthpura","Rajarajeswari Nagar","Bangalore North"
"38","HMT Ward","Rajarajeswari Nagar","Yeshwanthpura","Goraguntepalya","Rajarajeswari Nagar","Bangalore North"
"39","Chokkasandra","Dasarahalli","Hegganahalli","Peenya Industrial Town","Dasarahalli","Bangalore North"
"40","Dodda Bidarakallu","Rajarajeswari Nagar","Kengeri","Herohalli","Yeshwantpura","Bangalore North"
"41","Peenya Industrial Area","Dasarahalli","Hegganahalli","Peenya Industrial Town","Dasarahalli","Bangalore North"
"42","Lakshmi Devi Nagar","Rajarajeswari Nagar","Yeshwanthpura","Goraguntepalya","Rajarajeswari Nagar","Bangalore North"
"43","Nandini Layout","West","Mahalakshmi Layout","Mahalakshmi Layout","Mahalakshmi Layout","Bangalore North"
"44","Marappana Palya","West","Mahalakshmi Layout","Mahalakshmi Layout","Mahalakshmi Layout","Bangalore North"
"45","Malleshwaram","West","Malleshwaram","Mattikere","Malleshwaram","Bangalore North"
"46","Jayachamarajendra Nagar","East","Hebbal","J.C. Nagar","Hebbal","Bangalore North"
"47","Devara Jeevanahalli","East","Pulikeshi Nagar","Pulikeshi Nagar","Pulakeshi Nagar (SC)","Bangalore North"
"48","Muneshwara Nagar","East","Pulikeshi Nagar","K.G. Halli","Pulakeshi Nagar (SC)","Bangalore North"
"49","Lingarajapura","East","Sarvajna Nagar","Maruthi Seva Nagar","Sarvagna Nagar","Bangalore Central"
"50","Benniganahalli","East","C.V.Raman Nagar","C.V.Raman Nagar","C.V. Ramannagar (SC)","Bangalore Central"
"51","Vijnanapura","Mahadevapura","K.R.Puram","Horamaavu","K.R. Puram","Bangalore North"
"52","KR Puram","Mahadevapura","K.R.Puram","K.R.Puram","K.R. Puram","Bangalore North"
"53","Basavanapura","Mahadevapura","K.R.Puram","K.R.Puram","K.R. Puram","Bangalore North"
"54","Hudi","Mahadevapura","Mahadevapura","Hoodi","Mahadevapura","Bangalore Central"
"55","Devasandra","Mahadevapura","K.R.Puram","K.R.Puram","K.R. Puram","Bangalore North"
"56","A Narayanapura","Mahadevapura","K.R.Puram","HAL. Airport","K.R. Puram","Bangalore North"
"57","C.V. Raman Nagar","East","C.V.Raman Nagar","C.V.Raman Nagar","C.V. Ramannagar (SC)","Bangalore Central"
"58","New Tippa Sandra","East","C.V.Raman Nagar","C.V.Raman Nagar","C.V. Ramannagar (SC)","Bangalore Central"
"59","Maruthi Seva Nagar","East","Sarvajna Nagar","Maruthi Seva Nagar","Sarvagna Nagar","Bangalore Central"
"60","Sagayara Puram","East","Pulikeshi Nagar","K.G. Halli","Pulakeshi Nagar (SC)","Bangalore North"
"61","SK Garden","East","Pulikeshi Nagar","Pulikeshi Nagar","Pulakeshi Nagar (SC)","Bangalore North"
"62","Ramaswamy Palya","East","Shivaji Nagar","Vasanth Nagar","Shivaji Nagar","Bangalore Central"
"63","Jaya Mahal","East","Shivaji Nagar","Vasanth Nagar","Shivaji Nagar","Bangalore Central"
"64","Raj Mahal Guttahalli","West","Malleshwaram","Malleshwaram","Malleshwaram","Bangalore North"
"65","Kadu Malleshwar Ward","West","Malleshwaram","Malleshwaram","Malleshwaram","Bangalore North"
"66","Subramanya Nagar","West","Malleshwaram","Malleshwaram","Malleshwaram","Bangalore North"
"67","Nagapura","West","Mahalakshmi Layout","Naagapura","Mahalakshmi Layout","Bangalore North"
"68","Mahalakshmipuram","West","Mahalakshmi Layout","Mahalakshmi Layout","Mahalakshmi Layout","Bangalore North"
"69","Laggere","Rajarajeswari Nagar","Rajarajeshwari Nagar","Laggere","Rajarajeswari Nagar","Bangalore North"
"70","Rajagopal Nagar","Dasarahalli","Hegganahalli","Hegganahalli","Dasarahalli","Bangalore North"
"71","Hegganahalli","Dasarahalli","Hegganahalli","Hegganahalli","Dasarahalli","Bangalore North"
"72","Herohalli","Rajarajeswari Nagar","Kengeri","Herohalli","Yeshwantpura","Bangalore North"
"73","Kottegepalya","Rajarajeswari Nagar","Rajarajeshwari Nagar","Laggere","Rajarajeswari Nagar","Bangalore North"
"74","Shakthi Ganapathi Nagar","West","Mahalakshmi Layout","Mahalakshmi Layout","Mahalakshmi Layout","Bangalore North"
"75","Shankar Matt","West","Mahalakshmi Layout","Naagapura","Mahalakshmi Layout","Bangalore North"
"76","Gayithri Nagar","West","Malleshwaram","Malleshwaram","Malleshwaram","Bangalore North"
"77","Dattatreya Temple Ward","West","Gandhi Nagar","Gandhi Nagar","Gandhi Nagar","Bangalore Central"
"78","Pulakeshi Nagar","East","Pulikeshi Nagar","Pulikeshi Nagar","Pulakeshi Nagar (SC)","Bangalore North"
"79","Sarvagna Nagar","East","C.V.Raman Nagar","C.V.Raman Nagar","C.V. Ramannagar (SC)","Bangalore Central"
"80","Hoysala Nagar","East","C.V.Raman Nagar","Jeevanbheema Nagar","C.V. Ramannagar (SC)","Bangalore Central"
"81","Vijnana Nagar","Mahadevapura","K.R.Puram","HAL. Airport","K.R. Puram","Bangalore North"
"82","Garudachar palya","Mahadevapura","Mahadevapura","Hoodi","Mahadevapura","Bangalore Central"
"83","Kadugodi","Mahadevapura","Mahadevapura","White Field","Mahadevapura","Bangalore Central"
"84","Hagadur","Mahadevapura","Mahadevapura","White Field","Mahadevapura","Bangalore Central"
"85","Dodda Nekkundi","Mahadevapura","Mahadevapura","Hoodi","Mahadevapura","Bangalore Central"
"86","Marathahalli","Mahadevapura","Mahadevapura","Maarathahalli","Mahadevapura","Bangalore Central"
"87","HAL Airport","Mahadevapura","K.R.Puram","HAL. Airport","K.R. Puram","Bangalore North"
"88","Jeevanbhima Nagar","East","C.V.Raman Nagar","Jeevanbheema Nagar","C.V. Ramannagar (SC)","Bangalore Central"
"89","Jogupalya","East","Shanti Nagar","Dommalooru","Shanthi Nagar","Bangalore Central"
"90","Halsoor","East","Shivaji Nagar","Shivaji Nagar","Shivaji Nagar","Bangalore Central"
"91","Bharathi Nagar","East","Shivaji Nagar","Shivaji Nagar","Shivaji Nagar","Bangalore Central"
"92","Shivaji Nagar","East","Shivaji Nagar","Shivaji Nagar","Shivaji Nagar","Bangalore Central"
"93","Vasanth Nagar","East","Shivaji Nagar","Vasanth Nagar","Shivaji Nagar","Bangalore Central"
"94","Gandhi Nagar","West","Gandhi Nagar","Gandhi Nagar","Gandhi Nagar","Bangalore Central"
"95","Subhash Nagar","West","Gandhi Nagar","Gandhi Nagar","Gandhi Nagar","Bangalore Central"
"96","Okalipuram","West","Gandhi Nagar","Gandhi Nagar","Gandhi Nagar","Bangalore Central"
"97","Dayananda Nagar","West","Rajajinagar","Srirama Mandir","Rajaji Nagar","Bangalore Central"
"98","Prakash Nagar","West","Rajajinagar","Srirama Mandir","Rajaji Nagar","Bangalore Central"
"99","Rajaji Nagar","West","Rajajinagar","Rajajinagar","Rajaji Nagar","Bangalore Central"
"100","Basaveshwara Nagar","West","Rajajinagar","Rajajinagar","Rajaji Nagar","Bangalore Central"
"101","Kamakshipalya","West","Rajajinagar","Rajajinagar","Rajaji Nagar","Bangalore Central"
"102","Vrisahbhavathi Nagar","West","Mahalakshmi Layout","Naagapura","Mahalakshmi Layout","Bangalore North"
"103","Kaveripura","West","Govindaraj Nagar","Govindaraj Nagar","Govindaraja Nagar","Bangalore South"
"104","Govindaraja Nagar","West","Govindaraj Nagar","Govindaraj Nagar","Govindaraja Nagar","Bangalore South"
"105","Agrahara Dasarahalli","West","Govindaraj Nagar","Govindaraj Nagar","Govindaraja Nagar","Bangalore South"
"106","Dr.Raj Kumar Ward","West","Govindaraj Nagar","Govindaraj Nagar","Govindaraja Nagar","Bangalore South"
"107","Shiva Nagar","West","Rajajinagar","Rajajinagar","Rajaji Nagar","Bangalore Central"
"108","Sri Rama Mandir Ward","West","Rajajinagar","Srirama Mandir","Rajaji Nagar","Bangalore Central"
"109","Chickpete","West","Gandhi Nagar","Chikpet","Gandhi Nagar","Bangalore Central"
"110","Sampangiram Nagar","East","Shivaji Nagar","Vasanth Nagar","Shivaji Nagar","Bangalore Central"
"111","Shantala Nagar","East","Shanti Nagar","Shanti Nagar","Shanthi Nagar","Bangalore Central"
