Air pollution in hebbal,neg
Leaf and garbage burning on Shakthi Ganapathi temple premises. No action taken despite complaints.,neg
There is a lot of garbage dump in and around this area where lots of small petty shops and food carts are located. Disposable paper cups are thrown here and they find their way into storm water drains,neg
Replace broken streetlight. Complaint #5 about the same,neg
Cars have been using the footpath as a parking space everyday for over a year. No place for pedestrians. Damaging the footpath. No action taken by police.,neg
Congestiom everyday and all the time due to improper roads and construction,neg
Garbage dumped,neg
No parking sign has been placed but vehicles are parked,neg
Due to construction and small mud road,neg
Flies and rodents can be seen,neg
"Ads are stuck theyre not coming out even if we try
We called them and asked them to remove it but they still havent",neg
Bus parked wrongly blocking vehicles and creating traffic,neg
Garbade dumped infront of house and not cleared for days,neg
Garbage is not disposed properly,neg
Segregation has to be encouraged. ,neg
Cars always parked infront of no parking sign,neg
Garbage including old cars dumped,neg
Garbage dump. Near electric pole,neg
There is an unused old car also apart from garbage,neg
"""River"" that has become garbage dump",neg
"""River"" has become garbage dump",neg
Garbage in empty lot,neg
Filled with garbage,neg
Vehicles parking infront of sign,neg
Sign board fallen and rusted,neg
Vehicles parked always here,neg
Waste overflowing from empty site,neg
Vehicles parked in no parking zone always,neg
Garbage dumped at the corner of the road,neg
Site filled with garbage,neg
Cables hanging,neg
Empty site has garbage,neg
Vehicles parked 24/7,neg
Garbage dump on street side,neg
Garbage dump near Jana bank,neg
Garbage is been dumped,neg
Open manhole dangerous at nights,neg
Garbage strewn on street,neg
Garbage in empty site,neg
Sign has fallen,neg
Wrong parking always,neg
Parking on footpath always,neg
Parking on footpath,neg
Poster on tree,neg
Parking on footpath,neg
Scooters parked on footpath,neg
Infront of no parking sign,neg
Parking on footpath,neg
Dangerous pothole at turning,neg
Cars parked on footpath,neg
Cars impounded at police station are parked on street,neg
Parking scooters on footpath always,neg
Debris,neg
Long pothole along the road,neg
Buses parked infront of no parking sign.. three or four signs along this stretch of road,neg
Burning garbage near bsnl office,neg
Garbage dumped on both sides of the road,neg
Garbage dumped in vacant site,neg
Garbage truck filled with garbage parked with no driver ,neg
Garbage dumped on pavement,neg
Garbage dumped in an empty site and burnt,neg
Garbage dumped opposite to HSBC bank blocking footpath,neg
Grabage dumped out side shantipark on footpath ,neg
Garbage dump,neg
There are 2-3 spots near RV college which are on the verge of becoming a dump yard. It should be look immediately and proper bio and recycle bins should be kept here.,neg
Garbage dumps all over either side of the road. Not cleaned or taken care of.,neg
Garbage dumped again in front of the temple,neg
There are many spots across Jayanagar where leaflets are lying for days. It is now slowly getting converted into dumpyard,neg
People throw waste here next to bus stop,neg
Open drainage. ,neg
"Frequent garbage burning outside my home, when no one is home. Causes heavy air pollution and difficulty breathing for everyone in an already traffic heavy road.",neg
Garbage dumped on side of road,neg
Dangling of wire on footpath,neg
Garbage bin overfilled,neg
Garbage dumped on side of road.  Burning happening on other side.,neg
Blackspot inside the park where Gandhi statue is there.,neg
Blackspot not cleaned. Construction waste,neg
People throwing Garbage,neg
Recently constructed tendersure footpath is used by shops as parking lot in the stretch between modi hospital and Shankar mutt bus stop.,neg
Leaking sewage down the road. Drain is blocked.,neg
"This junction is heavily congested every evening between 6-8:30pm. No lane rules are followed, people drive in opposite lane and there is merging traffic.",neg
Road has around 6-7 pothole together.,neg
Waste inside the tree planter,neg
Sewage leaking down the road. Very bad smell.,neg
Garbage dump on empty vacant plot and serves as ground for open defecation and urination,neg
Garbage dump on side of road.  People also throwing home garbage here,neg
Garbage dump on side of road by residents,neg
Dumped outside BBMP park entrance,neg
Garbage dumping. Health hazard to residents,neg
Street light not working since 3 months. BBMP sahaya complaint no 10823530 was raised on jan 16 closed and updated resolved without actually resolving the issues.,neg
Garbage dump near metro construction in main roads,neg
Garbage burning causing lot of air pollution on an already traffic heavy road.,neg
Garbage,neg
"Parking in places where people sit, in front of building, cleaning vehicle and letting sewage water, foul smell",neg
Garbage,neg
Tree has fallen. Blocked the entire 20th main,neg
Garbage burning causing excessive pollution on an already traffic heavy road.,neg
Dump near Play school,neg
"Dangerous manhole,  risk to life",neg
Garbage dump under the railway bridge.,neg
In this area have two dustbin.in two also have a big hole.please solve this problem ,neg
There is a sewer lane under our house it doesn’t smell but has lots of plastic bags . Once a dog got a plastic  cover around its neck we got it removed by a rescuer ,neg
Its an open dump on the intersection of a residential area.,neg
There's a garbage dump in open area.,neg
"Wires and cables dangling in the junction, near the turning towards 20th main road.",neg
Garbage dump,neg
Dumping of garbage and burning,neg
Garbage dump,neg
The sign board ahead of 33rd A cross road Jayanagar has fallen down onto the road. It poses a threat to vehicles turning in and out of the by Lane.,neg
Street light is not working for 5 months now,neg
Street light not working for 8 months,neg
"The wires of the electric line is hanging down from the post and is simply hung around a tree. As it is in the footpath, it is not very safe for the pedestrians.",neg
There are a lot of weeds being grown in the lake. Last year it was full of water.,neg
There are a lot of potholes in my locality roads. It makes the commuters pass through a difficult ride. There were minor accidents due to the bad roads .Hence I request that the repairs be taken.,neg
Street light not functional,neg
Streetlight not working,neg
"In our locality there are many potholes like this.
",neg
"There is a lot of potholes in a area called arasanatti,Hosur.It also causes minor accidents . We want these pot holes to be fixed.",neg
Garbage dump near YFP painted wall. Sometimes gets cleared. Not permanent. Garbage spreads everywhere on the road.,neg
Right next to. Mall and bus stop. It's smelly and a repeated problem,neg
