complaint,polarity
This area is filled with garbage.,-0.2
There is a blackspot,0
The garbage dump stinks.,-1.2
Waste is being burnt here,-0.4
Small potholes indicates that the manhole surrounding is going to collapse ,-0.5
In my area people park their car in unalloted area.  So if we want to cross the bridge it is very difficult for us as there are so many cars in our area. Even telling them many times they don't listen ,-0.825
In Anna nagar roundanna there is a big sewage line unfinished. It is blocked by the garbage dumps.it is unfinished for 1 to 1 and half months. ,-0.166666667
It's so dark we feel so insecure the street lights are not working properly and this is going on for past 3 days please consider and take immediate action,-0.32
Water stopped coming to thus area a long time ago. Everyone has been using water below humane levels. A issue has been reported but no action has been taken. ,-0.1
Please help to clear the garbage ,-0.8
Outside Vehicles are being parked in front of the gate.,0
So it is difficult to park our vehicles. ,-1
Garbages are put on road and making it unclean I request to put a roadside bin here ,0
These wires are too dangerous when it is hanging on to roads.it may also cause accident.whrn it rains the current from wire cause shock to people.so these wires should be maintained properly......... ,-0.4
Roadside bin is not there in this. Road so that people was carelessly put garbages by the roadside and pls put a bin ,-1
Garbages put in bin are not collected and the cattles grazing here are eating the food inside it so pls collect the garbages in the bin and put a new bin for use ,-0.727272727
Every drop of water is precious.so it should be saved.we have to prevent water leaking from taps.today in India we are suffering without water. So it should be saved. ,0
Residents here are putting garbage putsisde the bin as the bin was uncollected for several months so pls collect waste and put a new bin ,-0.042424242
Suage is not cleaned properally ,0
Garbage not in its place ,0
Its not in the dustbin ,0
Roadside bin fully loaded with waste so pls clean the waste as soon as possible because cows are eating food and put a new bin for use ,-0.958787879
If we break traffic signal it leads to accident.so we need to obey the rules.if we obey the rules it saves lives.obeying rules is not a big matter...... ,0
Not in its place ,0
How can the auto move?? ,0
Roadside bin is required here as they are putting garbage outside so pls collect the garbage in this place,0
Garbage bins are fulllll ,0
Our environment???????? ,0
This cow is going to get ill ,-0.633333333
Bin must to be cleaned as it is fully dumped at here are garbages outside it also so that pls collect waste and put new bin,-0.042424242
My problem is that the garbage is being dumped on the road.it should be dumped in the bins.if anyone dumps on road they should be fined.,0
This causes soil pollution ,0
The trees!!!???? ,0
From house there is food waste put down on the road we should make the rules tight and should put a roadside bin ,-0.356084656
Garbage are put around the bin because  the bin is full and uncollected by gcc so pls put a new bin ,-0.513636364
Alot of them here as well ,0
Bin is full and not collected for several decades so pls put a new as the old is in very bad condition and collect waste pls,-0.174545455
It's a mini dumpyard ,0
Garbages are dumped here and are not collected for many months so pls put a new bin and collect the waste!!!! ,-0.901278409
Dustbins on road side should be regularly be collected ,0
Garbages are put near trees because they are lazy so for their laziness pls put a new bin  ,-0.009090909
Plants are cut are put near bin so that they show how lazy so pls put more bins ,-0.766666667
These sewage lines create a lot of problems ,0
Opposite to my house there is a transform so people are throwing garbage under the transform and the cats rats dogs are coming to our house so please take action and solve this problem ,-0.9
It is very stinky. Many mosquitoes are breeding. ,-0.3
Water taps are leaking because they are like this when they fixed the tap so pls do something so that we will benefit ,-0.8
Garbage vehicles are there only for three days in a week . People throw their garbage in the road. It gets scattered all over the road. People and other vehicles find it difficult to cross that place ,-0.3125
Manhole covers on Sadasivam street are deeper than road level. One of them right outside a Playschool. Lots of 2 wheelers skidding and children tripping over and getting hurt. ,-0.714285714
Deep pothole on side of roaf ,0
Pothole on center of road ,-0.2
There is foul smell due to waste dumped,-0.325
Garbage is not being segregated ,0
No one is picking up garbage from this areaS,0
Vacant plot of land filled with plastic bottles,-0.2
People litter on the road. There are no dustbins in this area,0
Mosquitoes are breeding here due to accumulation of wet waste,-0.283333333
There is a lot of garbage dump in and around this area where lots of small petty shops and food carts are located. Disposable paper cups are thrown here and they find their way into storm water drains,-0.5
Garbage dumped,0
Dangerous manhole,-1.2
Garbage dump under the railway bridge. ,0
Very poor and no cleaning ,-1.04
Flies and rodents can be seen,0
Tree fell down ,-0.311111111
Tree has fallen. Blocked the entire 20th main ,-0.888888889
Tree clearance from the road. Blocking the road. ,0
Garbage dumped,0
Waste dumped at the side of the road,-0.4
Garbade dumped infront of house and not cleared for days,0
Segregation is not happening in the street ,0
Garbage is not disposed properly,0
Segregation has to be encouraged.,0
Garbage dumped on both sides of the road,0
Garbage dumped in vacant site,0
Garbage truck filled with garbage parked with no driver ,-0.2
Garbage dumped on street,0
Garbage dumped on pavement,0
Garbage dumped in an empty site and burnt,-0.2
Garbage dumped opposite to HSBC bank blocking footpath,0
Grabage dumped out side shantipark on footpath,0
Broken coconut tree dumped here,-0.8
Garbage on footpath,0
