Ward_ID,Ward_Name,Score
193,Arakere,29.9065582461618
190,Mangammanapalya,20.95099167379032
192,Begur,13.970199050811924
168,Pattabhiram Nagar,13.857410841309669
194,Gottigere,10.326322509255679
174,HSR Layout,9.647979121794268
178,Sarakki,9.632098522765911
83,Kadugudi,9.118114564055134
150,Bellandur,8.740752391996182
160,Rajarajeshwari Nagar,8.213495154192312
175,Bommanahalli,7.993975963395945
6,Thanisandra,7.244200959440709
196,Anjanapur,5.73321421916483
9,Vidyaranyapura,5.035297175929619
182,Padmanabha Nagar,4.581982980399992
33,Manorayanapalya,4.274516886776076
166,Karisandra,3.9086139414563794
149,Varthur,3.8893043125418547
84,Hagadooru,3.8622005771864694
82,Garudacharpalya,3.307997442266048
54,Hoodi,2.763251333859344
161,Hosakerehalli,2.681337522761077
142,Sunkenahalli,2.668750997803564
85,Doddanekkundi,2.5429848230586782
177,J.P.Nagar,2.372101159788047
67,Nagapura,2.3075316613405756
127,Moodalapalya,2.0023028280576707
4,Yelahanka Satellite Town,1.8072197882610581
198,Hemmigepura,1.7039879844603782
195,Konanakunte,1.5516774670460682
63,Jayamahal,1.374386186482869
154,Basavanagudi,1.3251521868922707
65,Kadumalleshwara,1.1753079842896472
108,Sri Rammandira,1.0944527157648745
188,Bilekahalli,1.0922752146601828
99,Rajaji Nagar,1.0321750283908768
153,Jayangar,1.0179128456104585
89,Jogupalya,1.0000003440017244
1,Kempegowda,0.0
2,Chowdeshwari,0.0
3,Attur,0.0
5,Jakkur,0.0
7,Byatarayanapura,0.0
8,Kodigehalli,0.0
10,Doddabommasandra,0.0
11,Kuvempu Nagar,0.0
12,Shettyhalli,0.0
13,Mallasandra,0.0
14,Bagalagunte,0.0
15,T-Dasarahalli,0.0
16,Jalahalli,0.0
17,J.P.Park,0.0
18,Radhakrishna Temple,0.0
19,Sanjay Nagar,0.0
20,Ganga Nagar,0.0
21,Hebbal,0.0
22,Vishwanathnagenahalli,0.0
23,Nagavara,0.0
24,HBR Layout,0.0
25,Horamavu,0.0
26,Ramamurthy Nagar,0.0
27,Banaswadi,0.0
28,Kammanahalli,0.0
29,Kacharakanahalli,0.0
30,Kadugondanahalli,0.0
31,Kushal Nagar,0.0
32,Kavalbyrasandra,0.0
34,Gangenahalli,0.0
35,Aramane Nagar,0.0
36,Mathikere,0.0
37,Yeshwanthpur,0.0
38,H.M.T,0.0
39,Chokkasandra,0.0
40,Dodda Bidarkallu,0.0
41,Peenya Industrial Area,0.0
42,Lakshmidevi Nagar,0.0
43,Nandini Layout,0.0
44,Marappana Palya,0.0
45,Malleshwaram,0.0
46,Jayachamarajendra Nagar,0.0
47,Devarajeevanahalli,0.0
48,Muneshwara Nagar,0.0
49,Lingarajapuram,0.0
50,Benniganahalli,0.0
51,Vijanapura,0.0
52,K.R.Puram,0.0
53,Basavanapura,0.0
55,Devasandra,0.0
56,A.Narayanapura,0.0
57,C.V.Raman Nagar,0.0
58,Hosathippasandra,0.0
59,Maruthiseva Nagar,0.0
60,Sagayapuram,0.0
61,S.K.Garden,0.0
62,Ramaswamy Palya,0.0
64,Rajamahal,0.0
66,Subramanya Nagar,0.0
68,Mahalakshmipuram,0.0
69,Laggere,0.0
70,Rajagopala Nagar,0.0
71,Hegganahalli,0.0
72,Herohalli,0.0
73,Kottigepalya,0.0
74,Shakthiganapathi Nagar,0.0
75,Shankaramata,0.0
76,Gayathri Nagar,0.0
77,Dattathreya Temple,0.0
78,Pulikeshi Nagar,0.0
79,Sarvagna Nagar,0.0
80,Hoysala Nagar,0.0
81,Vignana Nagar,0.0
86,Marathalli,0.0
87,HAL Airport,0.0
88,Jeevanbhima Nagar,0.0
90,Ulsoor,0.0
91,Bharathi Nagar,0.0
92,Shivaji Nagar,0.0
93,Vasanth Nagar,0.0
94,Gandhi Nagar,0.0
95,Subhash Nagar,0.0
96,Okalipuram,0.0
97,Dayananda Nagar,0.0
98,Prakash Nagar,0.0
100,Basaveshwara Nagar,0.0
101,Kamakshipalya,0.0
102,Vrushabhavathi,0.0
103,Kaveripura,0.0
104,Govindraja Nagara,0.0
105,Agrahara Dasarahalli,0.0
106,Dr.Rajkumar Ward,0.0
107,Shiva Nagar,0.0
109,Chikpete,0.0
110,Sampangiram Nagar,0.0
111,Shanthala Nagar,0.0
112,Domlur,0.0
113,Konena Agrahara,0.0
114,Agaram,0.0
115,Vannarpet,0.0
116,Neelasandra,0.0
117,Shanthi Nagar,0.0
118,Sudam Nagar,0.0
119,Dharmarayaswamy Temple Ward,0.0
120,Cottonpet,0.0
121,Binnipet,0.0
122,Kempapura Agrahara,0.0
123,Vijay Nagar,0.0
124,Hosahalli,0.0
125,Marenahalli,0.0
126,Maruthi Mandira Ward,0.0
128,Nagarabhavi,0.0
129,Jnanabharathi Ward,0.0
130,Ullalu,0.0
131,Nayandanahalli,0.0
132,Attiguppe,0.0
133,Hampi Nagar,0.0
134,Bapuji Nagar,0.0
135,Padarayanapura,0.0
136,Jagareevanram Nagar,0.0
137,Rayapuram,0.0
138,Chalavadipalya,0.0
139,K.R.Market,0.0
140,Chamrajpet,0.0
141,Azad Nagar,0.0
143,Visvesvarapuram,0.0
144,Siddapura,0.0
145,Hombegowda Nagar,0.0
146,Lakkasandra,0.0
147,Adugodi,0.0
148,Ejipura,0.0
151,Koramangala,0.0
152,Sudduguntepalya,0.0
155,Hanumantha Nagar,0.0
156,Sri Nagar,0.0
157,Gali Anjaneya Swamy Temple Ward,0.0
158,Deepanjali Nagar,0.0
159,Kengeri,0.0
162,Giri Nagar,0.0
163,Katriguppe,0.0
164,Vidyapeetha,0.0
165,Ganeshmandira Ward,0.0
167,Yadiyuru,0.0
169,Byrasandra,0.0
170,Jayanagar East,0.0
171,Gurappanapalya,0.0
172,Madiwala,0.0
173,Jakkasandra,0.0
176,BTM Layout,0.0
179,Shakambari Nagar,0.0
180,Banashankari Temple Ward,0.0
181,Kumaraswamy Layout,0.0
183,Chikkalasandra,0.0
184,Uttarahalli,0.0
185,Yelachenahalli,0.0
186,Jaraganahalli,0.0
187,Puttenahalli,0.0
189,Hongasandra,0.0
191,Singasandra,0.0
197,Vasanthapura,0.0
