Ward_ID,Ward_Name,Score
168,Pattabhiram Nagar,276.367413202993
188,Bilekahalli,255.1922801680974
161,Hosakerehalli,187.52061547041168
85,Doddanekkundi,142.84338990794836
178,Sarakki,133.28536960487136
83,Kadugudi,119.8296151047636
175,Bommanahalli,105.39229919108227
142,Sunkenahalli,92.33572148233863
177,J.P.Nagar,86.9340894745005
6,Thanisandra,81.29075245721029
193,Arakere,75.18922672735142
82,Garudacharpalya,58.40735938923025
184,Uttarahalli,52.77298799674529
84,Hagadooru,44.8291463708114
190,Mangammanapalya,39.65859765722571
58,Hosathippasandra,38.618077806426456
150,Bellandur,33.131317659155386
99,Rajaji Nagar,24.945530917797228
35,Aramane Nagar,16.53856908851809
195,Konanakunte,13.512784627963484
57,C.V.Raman Nagar,12.81728467811833
9,Vidyaranyapura,10.586922035547452
196,Anjanapur,10.380018001768434
192,Begur,9.32741051982573
174,HSR Layout,9.321963504627188
111,Shanthala Nagar,9.203687300375307
156,Sri Nagar,8.793218496071681
151,Koramangala,7.481860137573565
65,Kadumalleshwara,6.066194396689797
101,Kamakshipalya,5.3431048350356045
181,Kumaraswamy Layout,4.857863090485177
136,Jagareevanram Nagar,4.78153895001071
187,Puttenahalli,4.760452790319291
2,Chowdeshwari,4.459412307017987
153,Jayangar,4.29371051176904
166,Karisandra,3.8164826942257513
67,Nagapura,3.2933200023996334
54,Hoodi,3.2746156642210336
60,Sagayapuram,2.480005514555508
194,Gottigere,2.4277581376581354
149,Varthur,2.3953730702057388
198,Hemmigepura,2.3065071748350916
182,Padmanabha Nagar,2.1371867252774313
124,Hosahalli,1.7622882158459399
133,Hampi Nagar,1.7622882158459399
4,Yelahanka Satellite Town,1.485338290976074
80,Hoysala Nagar,1.2116272968969892
165,Ganeshmandira Ward,1.1207499365633442
135,Padarayanapura,1.0790828729932016
162,Giri Nagar,1.0473429428058982
7,Byatarayanapura,1.0188421421920097
1,Kempegowda,0.0
3,Attur,0.0
5,Jakkur,0.0
8,Kodigehalli,0.0
10,Doddabommasandra,0.0
11,Kuvempu Nagar,0.0
12,Shettyhalli,0.0
13,Mallasandra,0.0
14,Bagalagunte,0.0
15,T-Dasarahalli,0.0
16,Jalahalli,0.0
17,J.P.Park,0.0
18,Radhakrishna Temple,0.0
19,Sanjay Nagar,0.0
20,Ganga Nagar,0.0
21,Hebbal,0.0
22,Vishwanathnagenahalli,0.0
23,Nagavara,0.0
24,HBR Layout,0.0
25,Horamavu,0.0
26,Ramamurthy Nagar,0.0
27,Banaswadi,0.0
28,Kammanahalli,0.0
29,Kacharakanahalli,0.0
30,Kadugondanahalli,0.0
31,Kushal Nagar,0.0
32,Kavalbyrasandra,0.0
33,Manorayanapalya,0.0
34,Gangenahalli,0.0
36,Mathikere,0.0
37,Yeshwanthpur,0.0
38,H.M.T,0.0
39,Chokkasandra,0.0
40,Dodda Bidarkallu,0.0
41,Peenya Industrial Area,0.0
42,Lakshmidevi Nagar,0.0
43,Nandini Layout,0.0
44,Marappana Palya,0.0
45,Malleshwaram,0.0
