Ward_ID,Ward_Name,Score
80,Hoysala Nagar,964.5983653339522
175,Bommanahalli,748.5045742117228
84,Hagadooru,713.314866462419
165,Ganeshmandira Ward,700.107677745474
6,Thanisandra,535.2714078285392
135,Padarayanapura,534.1880341880343
161,Hosakerehalli,534.1880341880343
168,Pattabhiram Nagar,354.495249282686
196,Anjanapur,335.96915245367165
82,Garudacharpalya,204.9613564628167
177,J.P.Nagar,144.0937681692268
187,Puttenahalli,139.49290289723746
83,Kadugudi,78.66313343814596
132,Attiguppe,46.101607182091705
153,Jayangar,43.32847998079288
167,Yadiyuru,32.27105756108748
142,Sunkenahalli,31.504409467664416
178,Sarakki,20.5893021851355
4,Yelahanka Satellite Town,16.44768541134502
162,Giri Nagar,14.489450699199187
193,Arakere,6.3895765554740915
181,Kumaraswamy Layout,4.937832955553282
174,HSR Layout,4.816423324268293
150,Bellandur,4.384111683043493
160,Rajarajeshwari Nagar,4.026821017871342
166,Karisandra,4.000000463787389
152,Sudduguntepalya,2.80932148253585
100,Basaveshwara Nagar,2.583452791817707
164,Vidyapeetha,2.2180401792410143
99,Rajaji Nagar,2.122701504672844
195,Konanakunte,2.0516099445693525
7,Byatarayanapura,2.040476359161765
184,Uttarahalli,2.0000003617158075
188,Bilekahalli,1.8154220363779747
190,Mangammanapalya,1.6462679868050623
85,Doddanekkundi,1.1161813313349076
35,Aramane Nagar,1.0659992514542258
127,Moodalapalya,1.0000003778645683
137,Rayapuram,1.0000002979006113
18,Radhakrishna Temple,1.0000002746519858
93,Vasanth Nagar,1.0000002746519858
76,Gayathri Nagar,1.0000001159468472
179,Shakambari Nagar,1.0000001159468472
1,Kempegowda,0.0
2,Chowdeshwari,0.0
3,Attur,0.0
5,Jakkur,0.0
8,Kodigehalli,0.0
9,Vidyaranyapura,0.0
10,Doddabommasandra,0.0
11,Kuvempu Nagar,0.0
12,Shettyhalli,0.0
13,Mallasandra,0.0
14,Bagalagunte,0.0
15,T-Dasarahalli,0.0
16,Jalahalli,0.0
17,J.P.Park,0.0
19,Sanjay Nagar,0.0
20,Ganga Nagar,0.0
21,Hebbal,0.0
22,Vishwanathnagenahalli,0.0
23,Nagavara,0.0
24,HBR Layout,0.0
25,Horamavu,0.0
26,Ramamurthy Nagar,0.0
27,Banaswadi,0.0
28,Kammanahalli,0.0
29,Kacharakanahalli,0.0
30,Kadugondanahalli,0.0
31,Kushal Nagar,0.0
32,Kavalbyrasandra,0.0
33,Manorayanapalya,0.0
34,Gangenahalli,0.0
36,Mathikere,0.0
37,Yeshwanthpur,0.0
38,H.M.T,0.0
39,Chokkasandra,0.0
40,Dodda Bidarkallu,0.0
41,Peenya Industrial Area,0.0
42,Lakshmidevi Nagar,0.0
43,Nandini Layout,0.0
44,Marappana Palya,0.0
45,Malleshwaram,0.0
46,Jayachamarajendra Nagar,0.0
47,Devarajeevanahalli,0.0
48,Muneshwara Nagar,0.0
49,Lingarajapuram,0.0
50,Benniganahalli,0.0
51,Vijanapura,0.0
52,K.R.Puram,0.0
53,Basavanapura,0.0
54,Hoodi,0.0
55,Devasandra,0.0
56,A.Narayanapura,0.0
57,C.V.Raman Nagar,0.0
58,Hosathippasandra,0.0
59,Maruthiseva Nagar,0.0
60,Sagayapuram,0.0
61,S.K.Garden,0.0
62,Ramaswamy Palya,0.0
63,Jayamahal,0.0
64,Rajamahal,0.0
65,Kadumalleshwara,0.0
66,Subramanya Nagar,0.0
67,Nagapura,0.0
68,Mahalakshmipuram,0.0
69,Laggere,0.0
70,Rajagopala Nagar,0.0
71,Hegganahalli,0.0
72,Herohalli,0.0
73,Kottigepalya,0.0
74,Shakthiganapathi Nagar,0.0
75,Shankaramata,0.0
77,Dattathreya Temple,0.0
78,Pulikeshi Nagar,0.0
79,Sarvagna Nagar,0.0
81,Vignana Nagar,0.0
86,Marathalli,0.0
87,HAL Airport,0.0
88,Jeevanbhima Nagar,0.0
89,Jogupalya,0.0
90,Ulsoor,0.0
91,Bharathi Nagar,0.0
92,Shivaji Nagar,0.0
94,Gandhi Nagar,0.0
95,Subhash Nagar,0.0
96,Okalipuram,0.0
97,Dayananda Nagar,0.0
98,Prakash Nagar,0.0
101,Kamakshipalya,0.0
102,Vrushabhavathi,0.0
103,Kaveripura,0.0
104,Govindraja Nagara,0.0
105,Agrahara Dasarahalli,0.0
106,Dr.Rajkumar Ward,0.0
107,Shiva Nagar,0.0
108,Sri Rammandira,0.0
109,Chikpete,0.0
110,Sampangiram Nagar,0.0
111,Shanthala Nagar,0.0
112,Domlur,0.0
113,Konena Agrahara,0.0
114,Agaram,0.0
115,Vannarpet,0.0
116,Neelasandra,0.0
117,Shanthi Nagar,0.0
118,Sudam Nagar,0.0
119,Dharmarayaswamy Temple Ward,0.0
120,Cottonpet,0.0
121,Binnipet,0.0
122,Kempapura Agrahara,0.0
123,Vijay Nagar,0.0
124,Hosahalli,0.0
125,Marenahalli,0.0
126,Maruthi Mandira Ward,0.0
128,Nagarabhavi,0.0
129,Jnanabharathi Ward,0.0
130,Ullalu,0.0
131,Nayandanahalli,0.0
133,Hampi Nagar,0.0
134,Bapuji Nagar,0.0
136,Jagareevanram Nagar,0.0
138,Chalavadipalya,0.0
139,K.R.Market,0.0
140,Chamrajpet,0.0
141,Azad Nagar,0.0
143,Visvesvarapuram,0.0
144,Siddapura,0.0
145,Hombegowda Nagar,0.0
146,Lakkasandra,0.0
147,Adugodi,0.0
148,Ejipura,0.0
149,Varthur,0.0
151,Koramangala,0.0
154,Basavanagudi,0.0
155,Hanumantha Nagar,0.0
156,Sri Nagar,0.0
157,Gali Anjaneya Swamy Temple Ward,0.0
158,Deepanjali Nagar,0.0
159,Kengeri,0.0
163,Katriguppe,0.0
